GameID,Season,Team1ID,Team2ID,Team1Seed,Team2Seed,Team1Win
1,2010,3124,3201,4,13,1
2,2010,3395,3173,9,8,0
3,2010,3214,3181,15,2,0
4,2010,3256,3199,14,3,0
5,2010,3207,3265,5,12,1
6,2010,3208,3408,5,12,1
7,2010,3211,3314,7,10,1
8,2010,3353,3234,9,8,0
9,2010,3251,3246,13,4,0
10,2010,3216,3261,10,7,0
11,2010,3277,3132,5,12,1
12,2010,3151,3329,13,4,0
13,2010,3343,3385,11,6,0
14,2010,3390,3415,1,16,1
15,2010,3397,3122,1,16,1
16,2010,3401,3340,2,15,1
17,2010,3114,3210,11,6,1
18,2010,3380,3163,16,1,0
19,2010,3235,3250,4,13,1
20,2010,3280,3292,7,10,1
21,2010,3320,3304,16,1,0
22,2010,3323,3156,2,15,1
23,2010,3326,3384,2,15,1
24,2010,3328,3355,3,14,1
25,2010,3361,3400,11,6,1
26,2010,3241,3396,9,8,0
27,2010,3417,3301,8,9,1
28,2010,3177,3435,11,6,0
29,2010,3458,3436,7,10,0
30,2010,3452,3249,3,14,1
31,2010,3438,3453,5,12,0
32,2010,3462,3190,3,14,1
33,2010,3124,3207,4,5,1
34,2010,3261,3181,7,2,0
35,2010,3385,3199,6,3,0
36,2010,3329,3208,4,5,0
37,2010,3211,3401,7,2,1
38,2010,3246,3277,4,5,1
39,2010,3234,3390,8,1,0
40,2010,3397,3173,1,8,1
41,2010,3163,3396,1,8,1
42,2010,3235,3453,4,12,1
43,2010,3280,3326,7,2,1
44,2010,3417,3304,8,1,0
45,2010,3323,3436,2,10,1
46,2010,3114,3328,11,3,0
47,2010,3361,3452,11,3,1
48,2010,3435,3462,6,3,0
49,2010,3397,3124,1,4,0
50,2010,3181,3361,2,11,1
51,2010,3208,3390,5,1,0
52,2010,3211,3462,7,3,0
53,2010,3235,3163,4,1,0
54,2010,3280,3199,7,3,0
55,2010,3304,3246,1,4,0
56,2010,3323,3328,2,3,0
57,2010,3124,3181,4,2,1
58,2010,3390,3462,1,3,1
59,2010,3163,3199,1,3,1
60,2010,3328,3246,3,4,1
61,2010,3163,3124,1,4,1
62,2010,3390,3328,1,3,1
63,2010,3390,3163,1,1,0
64,2011,3177,3298,3,14,1
65,2011,3181,3404,2,15,1
66,2011,3132,3210,12,5,0
67,2011,3211,3234,11,6,1
68,2011,3214,3246,13,4,0
69,2011,3265,3235,10,7,1
70,2011,3400,3266,9,8,0
71,2011,3201,3314,12,5,0
72,2011,3323,3428,2,15,1
73,2011,3326,3416,4,13,1
74,2011,3173,3336,11,6,0
75,2011,3403,3385,8,9,0
76,2011,3413,3390,16,1,0
77,2011,3113,3396,7,10,0
78,2011,3397,3391,1,16,1
79,2011,3417,3285,3,14,1
80,2011,3124,3341,1,16,1
81,2011,3216,3163,16,1,0
82,2011,3359,3199,14,3,0
83,2011,3207,3343,5,12,1
84,2011,3208,3292,6,11,1
85,2011,3257,3435,7,10,1
86,2011,3268,3384,4,13,1
87,2011,3205,3274,14,3,0
88,2011,3320,3277,13,4,0
89,2011,3241,3328,11,6,0
