Season,TeamID,AvgScore,GamesPlayed,Wins,Losses,WinPct
2010,3102,51.82142857142857,28.0,1.0,27.0,0.03571428571428571
2010,3103,62.233333333333334,30.0,17.0,13.0,0.5666666666666667
2010,3104,64.13793103448276,29.0,11.0,18.0,0.3793103448275862
2010,3105,60.77777777777778,27.0,14.0,13.0,0.5185185185185185
2010,3106,55.13793103448276,29.0,12.0,17.0,0.41379310344827586
2010,3107,56.4,30.0,11.0,19.0,0.36666666666666664
2010,3108,60.357142857142854,28.0,8.0,20.0,0.2857142857142857
2010,3110,60.42857142857143,21.0,13.0,8.0,0.6190476190476191
2010,3111,66.41935483870968,31.0,19.0,12.0,0.6129032258064516
2010,3112,65.41935483870968,31.0,14.0,17.0,0.45161290322580644
2010,3113,62.56666666666667,30.0,17.0,13.0,0.5666666666666667
2010,3114,66.84375,32.0,26.0,6.0,0.8125
2010,3115,63.36666666666667,30.0,8.0,22.0,0.26666666666666666
2010,3116,64.93333333333334,30.0,12.0,18.0,0.4
2010,3117,65.03333333333333,30.0,12.0,18.0,0.4
2010,3119,52.291666666666664,24.0,8.0,16.0,0.3333333333333333
2010,3120,61.83870967741935,31.0,15.0,16.0,0.4838709677419355
2010,3122,66.1875,32.0,15.0,17.0,0.46875
2010,3123,67.06451612903226,31.0,14.0,17.0,0.45161290322580644
2010,3124,72.09375,32.0,23.0,9.0,0.71875
2010,3125,64.6896551724138,29.0,14.0,15.0,0.4827586206896552
2010,3126,60.464285714285715,28.0,13.0,15.0,0.4642857142857143
2010,3127,61.46666666666667,30.0,11.0,19.0,0.36666666666666664
2010,3129,70.16666666666667,30.0,18.0,12.0,0.6
2010,3130,69.0,32.0,17.0,15.0,0.53125
2010,3131,64.83333333333333,30.0,16.0,14.0,0.5333333333333333
2010,3132,73.72727272727273,33.0,27.0,6.0,0.8181818181818182
2010,3133,62.93103448275862,29.0,16.0,13.0,0.5517241379310345
2010,3135,53.32142857142857,28.0,8.0,20.0,0.2857142857142857
2010,3136,63.58620689655172,29.0,13.0,16.0,0.4482758620689655
2010,3137,52.63157894736842,19.0,3.0,16.0,0.15789473684210525
2010,3138,62.63333333333333,30.0,7.0,23.0,0.23333333333333334
2010,3139,67.78125,32.0,23.0,9.0,0.71875
2010,3140,65.13793103448276,29.0,20.0,9.0,0.6896551724137931
2010,3141,72.20689655172414,29.0,12.0,17.0,0.41379310344827586
2010,3142,71.75862068965517,29.0,18.0,11.0,0.6206896551724138
2010,3143,65.41935483870968,31.0,18.0,13.0,0.5806451612903226
2010,3144,64.65517241379311,29.0,13.0,16.0,0.4482758620689655
2010,3145,55.516129032258064,31.0,12.0,19.0,0.3870967741935484
2010,3146,72.72,25.0,17.0,8.0,0.68
2010,3147,47.758620689655174,29.0,2.0,27.0,0.06896551724137931
2010,3148,59.766666666666666,30.0,12.0,18.0,0.4
2010,3149,64.74074074074075,27.0,14.0,13.0,0.5185185185185185
2010,3150,62.7,30.0,17.0,13.0,0.5666666666666667
2010,3151,67.28125,32.0,24.0,8.0,0.75
2010,3152,61.77777777777778,27.0,9.0,18.0,0.3333333333333333
2010,3153,56.689655172413794,29.0,12.0,17.0,0.41379310344827586
2010,3155,63.45161290322581,31.0,13.0,18.0,0.41935483870967744
2010,3156,66.64516129032258,31.0,18.0,13.0,0.5806451612903226
2010,3157,54.65384615384615,26.0,14.0,12.0,0.5384615384615384
2010,3158,63.407407407407405,27.0,18.0,9.0,0.6666666666666666
2010,3159,57.0,24.0,9.0,15.0,0.375
2010,3160,66.96666666666667,30.0,13.0,17.0,0.43333333333333335
2010,3161,60.6551724137931,29.0,12.0,17.0,0.41379310344827586
2010,3162,65.67857142857143,28.0,18.0,10.0,0.6428571428571429
2010,3163,81.34375,32.0,32.0,0.0,1.0
2010,3164,55.48,25.0,6.0,19.0,0.24
2010,3165,57.26923076923077,26.0,6.0,20.0,0.23076923076923078
2010,3166,64.7,30.0,20.0,10.0,0.6666666666666666
2010,3167,74.74074074074075,27.0,15.0,12.0,0.5555555555555556
2010,3168,67.34375,32.0,15.0,17.0,0.46875
2010,3169,61.074074074074076,27.0,4.0,23.0,0.14814814814814814
2010,3170,78.6896551724138,29.0,14.0,15.0,0.4827586206896552
2010,3171,50.81481481481482,27.0,11.0,16.0,0.4074074074074074
2010,3172,65.84615384615384,26.0,12.0,14.0,0.46153846153846156
2010,3173,70.76923076923077,26.0,21.0,5.0,0.8076923076923077
2010,3174,63.125,32.0,21.0,11.0,0.65625
2010,3175,46.75,28.0,4.0,24.0,0.14285714285714285
2010,3176,62.61290322580645,31.0,18.0,13.0,0.5806451612903226
2010,3177,68.0625,32.0,21.0,11.0,0.65625
2010,3178,61.45161290322581,31.0,17.0,14.0,0.5483870967741935
2010,3179,66.10714285714286,28.0,13.0,15.0,0.4642857142857143
2010,3180,60.833333333333336,30.0,17.0,13.0,0.5666666666666667
2010,3181,71.59375,32.0,27.0,5.0,0.84375
2010,3182,63.96774193548387,31.0,20.0,11.0,0.6451612903225806
2010,3183,69.0625,32.0,22.0,10.0,0.6875
2010,3184,54.892857142857146,28.0,11.0,17.0,0.39285714285714285
2010,3185,70.70370370370371,27.0,19.0,8.0,0.7037037037037037
2010,3186,64.75,28.0,17.0,11.0,0.6071428571428571
2010,3187,72.74193548387096,31.0,22.0,9.0,0.7096774193548387
2010,3188,57.333333333333336,24.0,5.0,19.0,0.20833333333333334
2010,3189,61.81481481481482,27.0,9.0,18.0,0.3333333333333333
2010,3190,77.70967741935483,31.0,23.0,8.0,0.7419354838709677
2010,3191,56.1,30.0,4.0,26.0,0.13333333333333333
